,INMUEBLES Y PROPIEDADES DESOCUPADAS,,,,,
,"NAVES INDUSTRIALES DE BAJA CALIFORNIA, S.A. DE C.V.",,,,,
,,,,,,
,Clave Catastral,Ubicacion,Superficie M2 Terreno,Superfici sqft Edificio,Ubicación,Servicios
,K05-011-02,Terreno Spot Technology,20000,,"Lote 11 Fraccion 1 Porcion 2 Colonia 2 Division 2, Cerro Prieto, Mexiali B.C.",Lote Baldio
NI C Calles 018,Q5-018-014,Terreno Col Calles,3800,,"Lote 18 Fraccion Este Porcion 3 Col. Calles, Mexicali B.C.",Lote Baldio
NI C Calles 008,Q5-018-008,Terreno Col Calles,868.1,,"Lote 18 Fraccion Este Porcion 3 Col. Calles, Mexicali B.C.",Lote Baldio
NI R Clifford 007,P8-500-007,Terreno Rancho Clifford,10242.3,,"Derecho paso de servidumbre CFE Rancho Clifford, Progreso Mexicali B.C.",Lote Baldio
NI R Clifford 009,P8-500-009,Terreno Rancho Clifford,66090.69,,"Lote SN Fraccion Oeste Porcion Central 3 Fraccion Sur, Col. Rancho Clifford Mexicali B.C.",Lote Baldio
,,,101001.09,,,
,,,,,,
,,,,,,
,"INMOBILIARIA NELSON LUKEN, S.A. DE C.V.",,,,,
,,,,,,
,Clave Catastral,Ubicacion,Superficie M2 Terreno,Superfici sqft Edificio,Ubicación,Servicios
NL Carranza P3,G4-007-026,Terreno Carranza Lote 7 F 4 P6 FB P3,1699.329,,"Calzada Venustiano Carranza SN Lote 7 Fraccion 4 Porcion 6 Fraccion B porcion 3 Colonia 2 Division 2, Mexicali B.C.",Lote Baldio
NL Carranza P4,G4-007-027,Terreno Carranza Lote 7 F 4 P6 FB P4,1319.018,,"Calzada Venustiano Carranza SN Lote 7 Fraccion 4 Porcion 6 Fraccion B porcion 4 Colonia 2 Division 2, Mexicali B.C.",Lote Baldio
NL Carranza P5,G4-007-028,Terreno Carranza Lote 7 F 4 P6 FB P5,1280.35,,"Calzada Venustiano Carranza SN Lote 7 Fraccion 4 Porcion 6 Fraccion B porcion 5 Colonia 2 Division 2, Mexicali B.C.",Lote Baldio
NL Carranza P6,G4-007-029,Terreno Carranza Lote 7 F 4 P6 FB P6,1260.036,,"Calzada Venustiano Carranza SN Lote 7 Fraccion 4 Porcion 6 Fraccion B porcion 6 Colonia 2 Division 2, Mexicali B.C.",Lote Baldio
,,,5558.733,,,
,,,,,,
,CONSTRUCTORA BADEMI S.A. DE C.V.,,,,,
,,,,,,
,Clave Catastral,Ubicacion,Superficie M2 Terreno,Superfici sqft Edificio,Ubicación,Servicios
CB Ej Puebla Fr 2,R5-050-002,Ejido Puebla Parcela 50,2106.714,,Parcela 50 Z-1 P-1/6 Fraccion 2 Ejido puebla Mexicali,Lote Baldio
